id,Value of House,TAX,LOT SQFT,YR BUILT,GROSS AREA,LIVING AREA,FLOORS,ROOMS,BEDROOMS,FULL BATH,HALF BATH,KITCHEN,FIREPLACE,REMODEL
280,287.2,3612,6750,1950,2344,1000,1,5,2,1,0,1,1,No
5210,360.3,4532,4500,1925,2680,1200,1,6,3,1,1,1,1,No
2906,413.9,5206,7875,1890,4203,2408,2,8,4,2,0,1,0,No
924,330.2,4153,7092,1950,2778,1270,1,7,3,1,0,1,1,No
4274,380.1,4781,3244,1950,2616,1598,2,8,4,2,0,1,0,Old
1024,249.4,3137,4000,1920,1542,720,1,4,2,1,0,1,0,No
4616,482.7,6072,6250,1904,3337,2045,2.5,8,4,2,1,1,0,Recent
4867,395.7,4977,4875,1920,2746,1768,2,7,3,1,1,1,1,No
5646,388.9,4892,4700,1925,3302,1753,2,8,3,1,1,1,0,No
1798,488.8,6149,6950,1960,3468,2052,2,9,4,2,1,1,1,No
831,402.3,5060,6763,1970,3688,2192,2,7,3,2,1,1,1,No
2720,345.4,4345,4500,1950,2576,1346,1.5,6,2,2,0,1,1,Old
1399,401.6,5052,10103,1950,2566,1430,1.5,6,2,2,0,1,1,Recent
5111,345.6,4347,4770,1920,2076,1288,2,6,3,1,0,1,0,No
1838,409.5,5151,4864,1950,3998,2176,1.5,11,4,2,1,2,1,No
2746,366.8,4614,3360,1921,2564,1560,2,6,3,1,0,1,1,No
828,285.9,3596,3354,1956,2304,1306,1.5,6,3,2,0,1,1,No
2276,464.2,5839,7560,1925,2338,1508,2,9,4,1,0,1,1,No
2219,582.5,7327,5298,1929,3568,2352,2,9,3,1,1,1,1,No
850,304.5,3830,4520,1960,2105,1352,2,6,3,1,1,1,1,No
3661,331.3,4167,3416,1920,3047,1378,1,6,3,1,1,1,0,No
580,370.3,4658,6091,1960,2868,1589,1.5,7,4,2,1,1,0,No
3455,417.1,5247,6285,1975,2664,1720,2,7,3,2,0,1,1,No
526,338.7,4260,8815,1965,2256,1726,1,7,3,2,0,2,0,No
535,295.6,3718,1237,1990,3039,1908,2,7,4,1,2,1,1,No
5046,385.2,4845,5632,1925,2530,1634,2,7,3,1,0,1,1,No
431,312.7,3933,5633,1960,2732,1469,1.5,6,2,2,0,1,1,No
4219,349,4390,6000,1914,2784,1624,2,7,4,1,0,1,1,No
5647,473.7,5959,5000,1920,2402,1632,2,7,3,1,1,1,0,Old
1308,327.4,4118,6697,1920,2317,1396,2,7,3,1,0,1,1,No
2588,448.2,5638,21933,1955,3418,1540,1,6,3,1,1,1,1,Recent
886,309.6,3894,8055,1960,2184,1351,1,5,2,1,0,1,1,No
4938,438.9,5521,6250,1920,3006,2064,2,7,3,2,1,1,1,Old
5519,421.3,5299,7150,1960,3032,1944,1,6,3,1,1,1,1,No
29,247.3,3111,4012,1896,1994,1048,1.5,6,3,1,0,1,0,No
3807,288.6,3630,4250,1930,2270,1044,1,5,2,1,0,1,1,No
2761,659.015,8290,6500,2010,6406,3351,2,9,4,2,1,1,1,No
5481,442.1,5561,8051,1940,3152,1695,1.5,7,3,1,1,1,1,Recent
5250,594.2,7475,7277,1995,3668,2200,2,7,4,2,1,1,3,Recent
4658,791.6,9958,7629,1890,6321,3521,2,12,6,4,1,1,2,Recent
4020,279.1,3511,4404,1920,1988,960,1,5,2,1,0,1,1,No
1537,365.3,4595,6624,1983,2635,1387,1.5,5,3,1,1,1,1,Recent
3900,348.6,4385,4000,1920,2627,1706,2,7,4,1,1,1,0,No
3705,352.9,4439,6334,1900,2677,1346,1.5,7,3,1,0,1,1,Old
5009,409.5,5151,4680,1895,3490,1890,2,6,2,2,1,1,0,No
1784,423.4,5326,4112,1940,3666,1682,1,8,3,2,1,1,1,Recent
2184,716.2,9009,9022,1920,4758,3132,2,13,6,2,0,1,1,Old
4233,276.9,3483,4000,1925,1591,1000,1,5,2,1,0,1,0,No
4599,506.5,6371,6613,1930,3813,2063,2,8,4,3,0,1,1,No
2858,336.3,4230,4900,1929,2597,1568,2,7,3,1,0,1,0,No
34,342.5,4308,4717,1925,2802,1620,2,7,3,1,1,1,0,No
1962,416.6,5240,5068,1925,3112,1734,2,9,4,2,1,1,1,No
4505,485.5,6107,6252,1930,2587,1615,2,9,3,1,1,1,1,Recent
4365,500.3,6293,7232,1920,5206,2692,2,9,3,2,0,1,1,No
