Value of House,TAX,LOT SQFT,GROSS AREA,LIVING AREA,FLOORS,ROOMS,BEDROOMS,FULL BATH,HALF BATH,FIREPLACE,Old,Recent
287.2,3612,6750,2344,1000,1.0,5,2,1,0,1,False,False
360.3,4532,4500,2680,1200,1.0,6,3,1,1,1,False,False
413.9,5206,7875,4203,2408,2.0,8,4,2,0,0,False,False
330.2,4153,7092,2778,1270,1.0,7,3,1,0,1,False,False
380.1,4781,3244,2616,1598,2.0,8,4,2,0,0,True,False
249.4,3137,4000,1542,720,1.0,4,2,1,0,0,False,False
482.7,6072,6250,3337,2045,2.5,8,4,2,1,0,False,True
395.7,4977,4875,2746,1768,2.0,7,3,1,1,1,False,False
388.9,4892,4700,3302,1753,2.0,8,3,1,1,0,False,False
488.8,6149,6950,3468,2052,2.0,9,4,2,1,1,False,False
402.3,5060,6763,3688,2192,2.0,7,3,2,1,1,False,False
345.4,4345,4500,2576,1346,1.5,6,2,2,0,1,True,False
401.6,5052,10103,2566,1430,1.5,6,2,2,0,1,False,True
345.6,4347,4770,2076,1288,2.0,6,3,1,0,0,False,False
409.5,5151,4864,3998,2176,1.5,11,4,2,1,1,False,False
366.8,4614,3360,2564,1560,2.0,6,3,1,0,1,False,False
285.9,3596,3354,2304,1306,1.5,6,3,2,0,1,False,False
464.2,5839,7560,2338,1508,2.0,9,4,1,0,1,False,False
582.5,7327,5298,3568,2352,2.0,9,3,1,1,1,False,False
304.5,3830,4520,2105,1352,2.0,6,3,1,1,1,False,False
331.3,4167,3416,3047,1378,1.0,6,3,1,1,0,False,False
370.3,4658,6091,2868,1589,1.5,7,4,2,1,0,False,False
417.1,5247,6285,2664,1720,2.0,7,3,2,0,1,False,False
338.7,4260,8815,2256,1726,1.0,7,3,2,0,0,False,False
295.6,3718,1237,3039,1908,2.0,7,4,1,2,1,False,False
385.2,4845,5632,2530,1634,2.0,7,3,1,0,1,False,False
312.7,3933,5633,2732,1469,1.5,6,2,2,0,1,False,False
349.0,4390,6000,2784,1624,2.0,7,4,1,0,1,False,False
473.7,5959,5000,2402,1632,2.0,7,3,1,1,0,True,False
327.4,4118,6697,2317,1396,2.0,7,3,1,0,1,False,False
448.2,5638,21933,3418,1540,1.0,6,3,1,1,1,False,True
309.6,3894,8055,2184,1351,1.0,5,2,1,0,1,False,False
438.9,5521,6250,3006,2064,2.0,7,3,2,1,1,True,False
421.3,5299,7150,3032,1944,1.0,6,3,1,1,1,False,False
247.3,3111,4012,1994,1048,1.5,6,3,1,0,0,False,False
288.6,3630,4250,2270,1044,1.0,5,2,1,0,1,False,False
659.015,8290,6500,6406,3351,2.0,9,4,2,1,1,False,False
442.1,5561,8051,3152,1695,1.5,7,3,1,1,1,False,True
594.2,7475,7277,3668,2200,2.0,7,4,2,1,3,False,True
791.6,9958,7629,6321,3521,2.0,12,6,4,1,2,False,True
279.1,3511,4404,1988,960,1.0,5,2,1,0,1,False,False
365.3,4595,6624,2635,1387,1.5,5,3,1,1,1,False,True
348.6,4385,4000,2627,1706,2.0,7,4,1,1,0,False,False
352.9,4439,6334,2677,1346,1.5,7,3,1,0,1,True,False
409.5,5151,4680,3490,1890,2.0,6,2,2,1,0,False,False
423.4,5326,4112,3666,1682,1.0,8,3,2,1,1,False,True
716.2,9009,9022,4758,3132,2.0,13,6,2,0,1,True,False
276.9,3483,4000,1591,1000,1.0,5,2,1,0,0,False,False
506.5,6371,6613,3813,2063,2.0,8,4,3,0,1,False,False
